freq	power	ampl	char					
1.00E-03	7.73E-13	8.79E-07	2.78E-08					
1.02E-03	7.15E-13	8.45E-07	2.70E-08					
1.03E-03	6.61E-13	8.13E-07	2.61E-08					
1.05E-03	6.11E-13	7.82E-07	2.53E-08					
1.07E-03	5.65E-13	7.52E-07	2.46E-08					
1.08E-03	5.23E-13	7.23E-07	2.38E-08					
1.10E-03	4.84E-13	6.96E-07	2.31E-08					
1.12E-03	4.48E-13	6.69E-07	2.24E-08					
1.14E-03	4.14E-13	6.44E-07	2.17E-08					
1.16E-03	3.83E-13	6.19E-07	2.11E-08					
1.18E-03	3.55E-13	5.96E-07	2.04E-08					
1.19E-03	3.29E-13	5.73E-07	1.98E-08					
1.21E-03	3.04E-13	5.52E-07	1.92E-08					
1.23E-03	2.82E-13	5.31E-07	1.86E-08					
1.25E-03	2.61E-13	5.11E-07	1.81E-08					
1.27E-03	2.42E-13	4.92E-07	1.75E-08					
1.29E-03	2.24E-13	4.73E-07	1.70E-08					
1.32E-03	2.07E-13	4.55E-07	1.65E-08					
1.34E-03	1.92E-13	4.38E-07	1.60E-08					
1.36E-03	1.78E-13	4.22E-07	1.55E-08					
1.38E-03	1.65E-13	4.06E-07	1.51E-08					
1.40E-03	1.53E-13	3.91E-07	1.46E-08					
1.43E-03	1.42E-13	3.76E-07	1.42E-08					
1.45E-03	1.31E-13	3.62E-07	1.38E-08					
1.47E-03	1.22E-13	3.49E-07	1.34E-08					
1.50E-03	1.13E-13	3.36E-07	1.30E-08					
1.52E-03	1.04E-13	3.23E-07	1.26E-08					
1.55E-03	9.68E-14	3.11E-07	1.22E-08					
1.57E-03	8.98E-14	3.00E-07	1.19E-08					
1.60E-03	8.32E-14	2.88E-07	1.15E-08					
1.62E-03	7.71E-14	2.78E-07	1.12E-08					
1.65E-03	7.15E-14	2.67E-07	1.09E-08					
1.68E-03	6.59E-14	2.57E-07	1.05E-08					
1.70E-03	6.00E-14	2.45E-07	1.01E-08					
1.73E-03	5.47E-14	2.34E-07	9.73E-09					
1.76E-03	4.99E-14	2.23E-07	9.37E-09					
1.79E-03	4.55E-14	2.13E-07	9.02E-09					
1.82E-03	4.15E-14	2.04E-07	8.68E-09					
1.85E-03	3.78E-14	1.95E-07	8.36E-09					
1.88E-03	3.45E-14	1.86E-07	8.05E-09					
1.91E-03	3.15E-14	1.77E-07	7.75E-09					
1.94E-03	2.88E-14	1.70E-07	7.46E-09					
1.97E-03	2.63E-14	1.62E-07	7.19E-09					
2.00E-03	2.40E-14	1.55E-07	6.93E-09					
2.03E-03	2.19E-14	1.48E-07	6.67E-09					
2.07E-03	2.00E-14	1.41E-07	6.43E-09					
2.10E-03	1.83E-14	1.35E-07	6.20E-09					
2.13E-03	1.67E-14	1.29E-07	5.97E-09					
2.17E-03	1.53E-14	1.24E-07	5.76E-09					
2.20E-03	1.40E-14	1.18E-07	5.55E-09					
2.24E-03	1.28E-14	1.13E-07	5.35E-09					
2.28E-03	1.17E-14	1.08E-07	5.15E-09					
2.31E-03	1.07E-14	1.03E-07	4.97E-09					
2.35E-03	9.76E-15	9.88E-08	4.79E-09					
2.39E-03	8.93E-15	9.45E-08	4.62E-09					
2.43E-03	8.17E-15	9.04E-08	4.45E-09					
2.47E-03	7.47E-15	8.64E-08	4.29E-09					
2.51E-03	6.83E-15	8.27E-08	4.14E-09					
2.55E-03	6.25E-15	7.91E-08	3.99E-09					
2.59E-03	5.72E-15	7.56E-08	3.85E-09					
2.63E-03	5.23E-15	7.23E-08	3.71E-09					
2.68E-03	4.79E-15	6.92E-08	3.58E-09					
2.72E-03	4.38E-15	6.62E-08	3.45E-09					
2.76E-03	4.01E-15	6.33E-08	3.33E-09					
2.81E-03	3.67E-15	6.05E-08	3.21E-09					
2.85E-03	3.35E-15	5.79E-08	3.09E-09					
2.90E-03	3.07E-15	5.54E-08	2.98E-09					
2.95E-03	2.81E-15	5.30E-08	2.88E-09					
3.00E-03	2.57E-15	5.07E-08	2.77E-09					
3.04E-03	2.35E-15	4.85E-08	2.67E-09					
3.09E-03	2.21E-15	4.70E-08	2.61E-09					
3.14E-03	2.08E-15	4.56E-08	2.56E-09					
3.20E-03	1.96E-15	4.43E-08	2.50E-09					
3.25E-03	1.85E-15	4.30E-08	2.45E-09					
3.30E-03	1.74E-15	4.17E-08	2.40E-09					
3.35E-03	1.64E-15	4.05E-08	2.34E-09					
3.41E-03	1.54E-15	3.92E-08	2.29E-09					
3.46E-03	1.45E-15	3.80E-08	2.24E-09					
3.52E-03	1.36E-15	3.68E-08	2.19E-09					
3.58E-03	1.27E-15	3.57E-08	2.13E-09					
3.64E-03	1.19E-15	3.46E-08	2.08E-09					
3.69E-03	1.12E-15	3.35E-08	2.03E-09					
3.75E-03	1.05E-15	3.24E-08	1.98E-09					
3.82E-03	9.81E-16	3.13E-08	1.93E-09					
3.88E-03	9.17E-16	3.03E-08	1.89E-09					
3.94E-03	8.57E-16	2.93E-08	1.84E-09					
4.01E-03	8.00E-16	2.83E-08	1.79E-09					
4.07E-03	7.47E-16	2.73E-08	1.74E-09					
4.14E-03	6.97E-16	2.64E-08	1.70E-09					
4.20E-03	6.49E-16	2.55E-08	1.65E-09					
4.27E-03	6.04E-16	2.46E-08	1.61E-09					
4.34E-03	5.62E-16	2.37E-08	1.56E-09					
4.41E-03	5.23E-16	2.29E-08	1.52E-09					
4.48E-03	4.86E-16	2.20E-08	1.48E-09					
4.56E-03	4.51E-16	2.12E-08	1.43E-09					
4.63E-03	4.18E-16	2.05E-08	1.39E-09					
4.71E-03	3.88E-16	1.97E-08	1.35E-09					
4.78E-03	3.59E-16	1.90E-08	1.31E-09					
4.86E-03	3.32E-16	1.82E-08	1.27E-09					
4.94E-03	3.07E-16	1.75E-08	1.23E-09					
5.02E-03	2.84E-16	1.69E-08	1.19E-09					
5.10E-03	2.62E-16	1.62E-08	1.16E-09					
5.18E-03	2.42E-16	1.56E-08	1.12E-09					
5.27E-03	2.23E-16	1.49E-08	1.08E-09					
5.35E-03	2.05E-16	1.43E-08	1.05E-09					
5.44E-03	1.89E-16	1.37E-08	1.01E-09					
5.53E-03	1.74E-16	1.32E-08	9.80E-10					
5.62E-03	1.60E-16	1.26E-08	9.47E-10					
5.71E-03	1.46E-16	1.21E-08	9.14E-10					
5.80E-03	1.34E-16	1.16E-08	8.83E-10					
5.90E-03	1.23E-16	1.11E-08	8.51E-10					
5.99E-03	1.12E-16	1.06E-08	8.21E-10					
6.09E-03	1.03E-16	1.01E-08	7.91E-10					
6.19E-03	9.39E-17	9.69E-09	7.63E-10					
6.29E-03	8.57E-17	9.26E-09	7.34E-10					
6.39E-03	7.81E-17	8.84E-09	7.07E-10					
6.50E-03	7.11E-17	8.43E-09	6.80E-10					
6.60E-03	6.42E-17	8.01E-09	6.51E-10					
6.71E-03	5.79E-17	7.61E-09	6.23E-10					
6.82E-03	5.21E-17	7.22E-09	5.96E-10					
6.93E-03	4.69E-17	6.85E-09	5.70E-10					
7.04E-03	4.22E-17	6.49E-09	5.45E-10					
7.16E-03	3.79E-17	6.16E-09	5.21E-10					
7.28E-03	3.40E-17	5.83E-09	4.97E-10					
7.39E-03	3.05E-17	5.52E-09	4.75E-10					
7.51E-03	2.73E-17	5.23E-09	4.53E-10					
7.64E-03	2.45E-17	4.95E-09	4.32E-10					
7.76E-03	2.19E-17	4.68E-09	4.12E-10					
7.89E-03	1.95E-17	4.42E-09	3.93E-10					
8.02E-03	1.74E-17	4.18E-09	3.74E-10					
8.15E-03	1.56E-17	3.94E-09	3.56E-10					
8.28E-03	1.39E-17	3.72E-09	3.39E-10					
8.41E-03	1.23E-17	3.51E-09	3.22E-10					
8.55E-03	1.10E-17	3.31E-09	3.06E-10					
8.69E-03	9.74E-18	3.12E-09	2.91E-10					
8.83E-03	8.64E-18	2.94E-09	2.76E-10					
8.97E-03	7.66E-18	2.77E-09	2.62E-10					
9.12E-03	6.78E-18	2.60E-09	2.49E-10					
9.27E-03	6.00E-18	2.45E-09	2.36E-10					
9.42E-03	5.31E-18	2.30E-09	2.24E-10					
9.57E-03	4.68E-18	2.16E-09	2.12E-10					
9.73E-03	4.13E-18	2.03E-09	2.00E-10					
9.89E-03	3.64E-18	1.91E-09	1.90E-10					
1.00E-02	3.12E-18	1.77E-09	1.77E-10					
1.02E-02	2.66E-18	1.63E-09	1.65E-10					
1.04E-02	2.27E-18	1.51E-09	1.54E-10					
1.05E-02	1.94E-18	1.39E-09	1.43E-10					
